Age,Sex,Pclass,Fare,FamilySize,Survived
22.0,0,3,7.25,1,0
38.0,1,1,71.2833,1,1
26.0,1,3,7.925,0,1
35.0,1,1,53.1,1,1
35.0,0,3,8.05,0,0
28.0,0,3,8.4583,0,0
54.0,0,1,51.8625,0,0
2.0,0,3,21.075,4,0
27.0,1,3,11.1333,2,1
14.0,1,2,30.0708,1,1
4.0,1,3,16.7,2,1
58.0,1,1,26.55,0,1
20.0,0,3,8.05,0,0
39.0,0,3,31.275,6,0
14.0,1,3,7.8542,0,0
55.0,1,2,16.0,0,1
2.0,0,3,29.125,5,0
28.0,0,2,13.0,0,1
31.0,1,3,18.0,1,0
28.0,1,3,7.225,0,1
35.0,0,2,26.0,0,0
34.0,0,2,13.0,0,1
15.0,1,3,8.0292,0,1
28.0,0,1,35.5,0,1
8.0,1,3,21.075,4,0
38.0,1,3,31.3875,6,1
28.0,0,3,7.225,0,0
19.0,0,1,263.0,5,0
28.0,1,3,7.8792,0,1
28.0,0,3,7.8958,0,0
40.0,0,1,27.7208,0,0
28.0,1,1,146.5208,1,1
28.0,1,3,7.75,0,1
66.0,0,2,10.5,0,0
28.0,0,1,82.1708,1,0
42.0,0,1,52.0,1,0
28.0,0,3,7.2292,0,1
21.0,0,3,8.05,0,0
18.0,1,3,18.0,2,0
14.0,1,3,11.2417,1,1
40.0,1,3,9.475,1,0
27.0,1,2,21.0,1,0
28.0,0,3,7.8958,0,0
3.0,1,2,41.5792,3,1
19.0,1,3,7.8792,0,1
28.0,0,3,8.05,0,0
28.0,0,3,15.5,1,0
28.0,1,3,7.75,0,1
28.0,0,3,21.6792,2,0
18.0,1,3,17.8,1,0
7.0,0,3,39.6875,5,0
21.0,0,3,7.8,0,0
49.0,1,1,76.7292,1,1
29.0,1,2,26.0,1,1
65.0,0,1,61.9792,1,0
28.0,0,1,35.5,0,1
21.0,1,2,10.5,0,1
28.5,0,3,7.2292,0,0
5.0,1,2,27.75,3,1
11.0,0,3,46.9,7,0
22.0,0,3,7.2292,0,0
38.0,1,1,80.0,0,1
45.0,0,1,83.475,1,0
4.0,0,3,27.9,5,0
28.0,0,1,27.7208,0,0
28.0,0,3,15.2458,2,1
29.0,1,2,10.5,0,1
19.0,0,3,8.1583,0,0
17.0,1,3,7.925,6,1
26.0,0,3,8.6625,2,0
32.0,0,2,10.5,0,0
16.0,1,3,46.9,7,0
21.0,0,2,73.5,0,0
26.0,0,3,14.4542,1,0
32.0,0,3,56.4958,0,1
25.0,0,3,7.65,0,0
28.0,0,3,7.8958,0,0
28.0,0,3,8.05,0,0
0.83,0,2,29.0,2,1
30.0,1,3,12.475,0,1
22.0,0,3,9.0,0,0
29.0,0,3,9.5,0,1
28.0,1,3,7.7875,0,1
28.0,0,1,47.1,0,0
17.0,1,2,10.5,0,1
33.0,1,3,15.85,3,1
16.0,0,3,34.375,4,0
28.0,0,3,8.05,0,0
23.0,1,1,263.0,5,1
24.0,0,3,8.05,0,0
29.0,0,3,8.05,0,0
20.0,0,3,7.8542,0,0
46.0,0,1,61.175,1,0
26.0,0,3,20.575,3,0
59.0,0,3,7.25,0,0
28.0,0,3,8.05,0,0
71.0,0,1,34.6542,0,0
23.0,0,1,63.3583,1,1
34.0,1,2,23.0,1,1
34.0,0,2,26.0,1,0
28.0,1,3,7.8958,0,0
28.0,0,3,7.8958,0,0
21.0,0,1,77.2875,1,0
33.0,0,3,8.6542,0,0
37.0,0,3,7.925,2,0
28.0,0,3,7.8958,0,0
21.0,1,3,7.65,0,1
28.0,0,3,7.775,0,1
38.0,0,3,7.8958,0,0
28.0,1,3,24.15,1,1
47.0,0,1,52.0,0,0
14.5,1,3,14.4542,1,0
22.0,0,3,8.05,0,0
20.0,1,3,9.825,1,0
17.0,1,3,14.4583,0,0
21.0,0,3,7.925,0,0
70.5,0,3,7.75,0,0
29.0,0,2,21.0,1,0
24.0,0,1,247.5208,1,0
2.0,1,3,31.275,6,0
21.0,0,2,73.5,2,0
28.0,0,3,8.05,0,0
32.5,0,2,30.0708,1,0
32.5,1,2,13.0,0,1
54.0,0,1,77.2875,1,0
12.0,0,3,11.2417,1,1
28.0,0,3,7.75,0,0
24.0,0,3,7.1417,0,1
28.0,1,3,22.3583,2,1
45.0,0,3,6.975,0,0
33.0,0,3,7.8958,0,0
20.0,0,3,7.05,0,0
47.0,1,3,14.5,1,0
29.0,1,2,26.0,1,1
25.0,0,2,13.0,0,0
23.0,0,2,15.0458,0,0
19.0,1,1,26.2833,2,1
37.0,0,1,53.1,1,0
16.0,0,3,9.2167,0,0
24.0,0,1,79.2,0,0
28.0,1,3,15.2458,2,0
22.0,1,3,7.75,0,1
24.0,1,3,15.85,1,1
19.0,0,3,6.75,0,0
18.0,0,2,11.5,0,0
19.0,0,2,36.75,2,0
27.0,0,3,7.7958,0,1
9.0,1,3,34.375,4,0
36.5,0,2,26.0,2,0
42.0,0,2,13.0,0,0
51.0,0,2,12.525,0,0
22.0,1,1,66.6,1,1
55.5,0,3,8.05,0,0
40.5,0,3,14.5,2,0
28.0,0,3,7.3125,0,0
51.0,0,1,61.3792,1,0
16.0,1,3,7.7333,0,1
30.0,0,3,8.05,0,0
28.0,0,3,8.6625,0,0
28.0,0,3,69.55,10,0
44.0,0,3,16.1,1,0
40.0,1,2,15.75,0,1
26.0,0,3,7.775,0,0
17.0,0,3,8.6625,0,0
1.0,0,3,39.6875,5,0
9.0,0,3,20.525,2,1
28.0,1,1,55.0,1,1
45.0,1,3,27.9,5,0
28.0,0,1,25.925,0,0
28.0,0,3,56.4958,0,0
61.0,0,1,33.5,0,0
4.0,0,3,29.125,5,0
1.0,1,3,11.1333,2,1
21.0,0,3,7.925,0,0
56.0,0,1,30.6958,0,0
18.0,0,3,7.8542,2,0
28.0,0,3,25.4667,4,0
50.0,1,1,28.7125,0,0
30.0,0,2,13.0,0,0
36.0,0,3,0.0,0,0
28.0,1,3,69.55,10,0
28.0,0,2,15.05,0,0
9.0,0,3,31.3875,6,0
1.0,0,2,39.0,3,1
4.0,1,3,22.025,2,1
28.0,0,1,50.0,0,0
28.0,1,3,15.5,1,1
45.0,0,1,26.55,0,1
40.0,0,3,15.5,2,0
36.0,0,3,7.8958,0,0
32.0,1,2,13.0,0,1
19.0,0,2,13.0,0,0
19.0,1,3,7.8542,1,1
3.0,0,2,26.0,2,1
44.0,1,1,27.7208,0,1
58.0,1,1,146.5208,0,1
28.0,0,3,7.75,0,0
42.0,0,3,8.4042,1,0
28.0,1,3,7.75,0,1
24.0,1,2,13.0,0,0
28.0,0,3,9.5,0,0
28.0,0,3,69.55,10,0
34.0,0,3,6.4958,0,0
45.5,0,3,7.225,0,0
18.0,0,3,8.05,0,1
2.0,1,3,10.4625,1,0
32.0,0,3,15.85,1,0
26.0,0,3,18.7875,0,1
16.0,1,3,7.75,0,1
40.0,0,1,31.0,0,1
24.0,0,3,7.05,0,0
35.0,1,2,21.0,0,1
22.0,0,3,7.25,0,0
30.0,0,2,13.0,0,0
28.0,0,3,7.75,1,0
31.0,1,1,113.275,1,1
27.0,1,3,7.925,0,1
42.0,0,2,27.0,1,0
32.0,1,1,76.2917,0,1
30.0,0,2,10.5,0,0
16.0,0,3,8.05,0,1
27.0,0,2,13.0,0,0
51.0,0,3,8.05,0,0
28.0,0,3,7.8958,0,0
38.0,0,1,90.0,1,1
22.0,0,3,9.35,0,0
19.0,0,2,10.5,0,1
20.5,0,3,7.25,0,0
18.0,0,2,13.0,0,0
28.0,1,3,25.4667,4,0
35.0,1,1,83.475,1,1
29.0,0,3,7.775,0,0
59.0,0,2,13.5,0,0
5.0,1,3,31.3875,6,1
24.0,0,2,10.5,0,0
28.0,1,3,7.55,0,0
44.0,0,2,26.0,1,0
8.0,1,2,26.25,2,1
19.0,0,2,10.5,0,0
33.0,0,2,12.275,0,0
28.0,1,3,14.4542,1,0
28.0,1,3,15.5,1,1
29.0,0,2,10.5,0,0
22.0,0,3,7.125,0,0
30.0,0,3,7.225,0,0
44.0,0,1,90.0,2,0
25.0,1,3,7.775,0,0
24.0,1,2,14.5,2,1
37.0,0,1,52.5542,2,1
54.0,0,2,26.0,1,0
28.0,0,3,7.25,0,0
29.0,1,3,10.4625,2,0
62.0,0,1,26.55,0,0
30.0,0,3,16.1,1,0
41.0,1,3,20.2125,2,0
29.0,1,3,15.2458,2,1
28.0,1,1,79.2,0,1
30.0,1,1,86.5,0,1
35.0,1,1,512.3292,0,1
50.0,1,2,26.0,1,1
28.0,0,3,7.75,0,0
3.0,0,3,31.3875,6,1
52.0,0,1,79.65,2,0
40.0,0,1,0.0,0,0
28.0,1,3,7.75,0,0
36.0,0,2,10.5,0,0
16.0,0,3,39.6875,5,0
25.0,0,3,7.775,1,1
58.0,1,1,153.4625,1,1
35.0,1,1,135.6333,0,1
28.0,0,1,31.0,0,0
25.0,0,3,0.0,0,1
41.0,1,2,19.5,1,1
37.0,0,1,29.7,1,0
28.0,1,3,7.75,0,1
63.0,1,1,77.9583,1,1
45.0,1,3,7.75,0,0
28.0,0,2,0.0,0,0
7.0,0,3,29.125,5,0
35.0,1,3,20.25,2,1
65.0,0,3,7.75,0,0
28.0,0,3,7.8542,0,0
16.0,0,3,9.5,0,0
19.0,0,3,8.05,0,1
28.0,0,1,26.0,0,0
33.0,0,3,8.6625,0,0
30.0,0,3,9.5,0,1
22.0,0,3,7.8958,0,0
42.0,0,2,13.0,0,1
22.0,1,3,7.75,0,1
26.0,1,1,78.85,0,1
19.0,1,1,91.0792,1,1
36.0,0,2,12.875,0,0
24.0,1,3,8.85,0,0
24.0,0,3,7.8958,0,0
28.0,0,1,27.7208,0,0
23.5,0,3,7.2292,0,0
2.0,1,1,151.55,3,0
28.0,0,1,30.5,0,1
50.0,1,1,247.5208,1,1
28.0,1,3,7.75,0,1
28.0,0,3,23.25,2,1
19.0,0,3,0.0,0,0
28.0,1,2,12.35,0,1
28.0,0,3,8.05,0,0
0.92,0,1,151.55,3,1
28.0,1,1,110.8833,0,1
17.0,1,1,108.9,1,1
30.0,0,2,24.0,1,0
30.0,1,1,56.9292,0,1
24.0,1,1,83.1583,0,1
18.0,1,1,262.375,4,1
26.0,1,2,26.0,2,0
28.0,0,3,7.8958,0,0
43.0,0,2,26.25,2,0
26.0,1,3,7.8542,0,1
24.0,1,2,26.0,1,1
54.0,0,2,14.0,0,0
31.0,1,1,164.8667,2,1
40.0,1,1,134.5,2,1
22.0,0,3,7.25,0,0
27.0,0,3,7.8958,0,0
30.0,1,2,12.35,0,1
22.0,1,2,29.0,2,1
28.0,0,3,69.55,10,0
36.0,1,1,135.6333,0,1
61.0,0,3,6.2375,0,0
36.0,1,2,13.0,0,1
31.0,1,3,20.525,2,1
16.0,1,1,57.9792,1,1
28.0,1,3,23.25,2,1
45.5,0,1,28.5,0,0
38.0,0,1,153.4625,1,0
16.0,0,3,18.0,2,0
28.0,1,1,133.65,1,1
28.0,0,3,7.8958,0,0
29.0,0,1,66.6,1,0
41.0,1,1,134.5,0,1
45.0,0,3,8.05,0,1
45.0,0,1,35.5,0,0
2.0,0,2,26.0,2,1
24.0,1,1,263.0,5,1
28.0,0,2,13.0,0,0
25.0,0,2,13.0,0,0
36.0,0,2,13.0,0,0
24.0,1,2,13.0,0,1
40.0,1,2,13.0,0,1
28.0,1,3,16.1,1,1
3.0,0,3,15.9,2,1
42.0,0,3,8.6625,0,0
23.0,0,3,9.225,0,0
28.0,0,1,35.0,0,0
15.0,0,3,7.2292,2,0
25.0,0,3,17.8,1,0
28.0,0,3,7.225,0,0
28.0,0,3,9.5,0,0
22.0,1,1,55.0,1,1
38.0,1,2,13.0,0,0
28.0,1,3,7.8792,0,1
28.0,1,3,7.8792,0,1
40.0,0,3,27.9,5,0
29.0,0,2,27.7208,1,0
45.0,1,3,14.4542,1,0
35.0,0,3,7.05,0,0
28.0,0,3,15.5,1,0
30.0,0,3,7.25,0,0
60.0,1,1,75.25,1,1
28.0,1,3,7.2292,0,1
28.0,1,3,7.75,0,1
24.0,1,1,69.3,0,1
25.0,0,1,55.4417,1,1
18.0,0,3,6.4958,1,0
19.0,0,3,8.05,0,0
22.0,0,1,135.6333,0,0
3.0,1,3,21.075,4,0
28.0,1,1,82.1708,1,1
22.0,1,3,7.25,0,1
27.0,0,1,211.5,2,0
20.0,0,3,4.0125,0,0
19.0,0,3,7.775,0,0
42.0,1,1,227.525,0,1
1.0,1,3,15.7417,2,1
32.0,0,3,7.925,0,0
35.0,1,1,52.0,1,1
28.0,0,3,7.8958,0,0
18.0,0,2,73.5,0,0
1.0,0,3,46.9,7,0
36.0,1,2,13.0,0,1
28.0,0,3,7.7292,0,0
17.0,1,2,12.0,0,1
36.0,0,1,120.0,3,1
21.0,0,3,7.7958,0,1
28.0,0,3,7.925,2,0
23.0,1,1,113.275,1,1
24.0,1,3,16.7,2,1
22.0,0,3,7.7958,0,0
31.0,1,3,7.8542,0,0
46.0,0,2,26.0,0,0
23.0,0,2,10.5,0,0
28.0,1,2,12.65,0,1
39.0,0,3,7.925,0,1
26.0,0,3,8.05,0,0
21.0,1,3,9.825,1,0
28.0,0,3,15.85,1,0
20.0,1,3,8.6625,0,0
34.0,0,2,21.0,1,0
51.0,0,3,7.75,0,0
3.0,0,2,18.75,2,1
21.0,0,3,7.775,0,0
28.0,1,3,25.4667,4,0
28.0,0,3,7.8958,0,0
28.0,0,3,6.8583,0,0
33.0,1,1,90.0,1,1
28.0,0,2,0.0,0,0
44.0,0,3,7.925,0,1
28.0,1,3,8.05,0,0
34.0,1,2,32.5,2,1
18.0,1,2,13.0,2,1
30.0,0,2,13.0,0,0
10.0,1,3,24.15,2,0
28.0,0,3,7.8958,0,0
21.0,0,3,7.7333,0,0
29.0,0,3,7.875,0,0
28.0,1,3,14.4,2,0
18.0,0,3,20.2125,2,0
28.0,0,3,7.25,0,0
28.0,1,2,26.0,1,1
19.0,1,2,26.0,0,1
28.0,0,3,7.75,0,0
32.0,0,3,8.05,0,1
28.0,0,1,26.55,0,1
28.0,1,3,16.1,1,1
42.0,1,2,26.0,1,1
17.0,0,3,7.125,0,0
50.0,0,1,55.9,1,0
14.0,1,1,120.0,3,1
21.0,1,3,34.375,4,0
24.0,1,2,18.75,5,1
64.0,0,1,263.0,5,0
31.0,0,2,10.5,0,0
45.0,1,2,26.25,2,1
20.0,0,3,9.5,0,0
25.0,0,3,7.775,1,0
28.0,1,2,13.0,0,1
28.0,0,3,8.1125,0,1
