Age,Sex,Pclass,Fare,FamilySize,Survived
4.0,0,1,81.8583,2,1
13.0,1,2,19.5,1,1
34.0,0,1,26.55,0,1
5.0,1,3,19.2583,3,1
52.0,0,1,30.5,0,1
36.0,0,2,27.75,3,0
28.0,0,3,19.9667,1,0
30.0,0,1,27.75,0,0
49.0,0,1,89.1042,1,1
28.0,0,3,8.05,0,0
29.0,0,3,7.8958,0,1
65.0,0,1,26.55,0,0
28.0,1,1,51.8625,1,1
50.0,1,2,10.5,0,1
28.0,0,3,7.75,0,0
48.0,0,1,26.55,0,1
34.0,0,3,8.05,0,0
47.0,0,1,38.5,0,0
48.0,0,2,13.0,0,0
28.0,0,3,8.05,0,0
38.0,0,3,7.05,0,0
28.0,0,2,0.0,0,0
56.0,0,1,26.55,0,0
28.0,0,3,7.725,0,0
0.75,1,3,19.2583,3,1
28.0,0,3,7.25,0,0
38.0,0,3,8.6625,0,0
33.0,1,2,27.75,3,1
23.0,1,2,13.7917,0,1
22.0,1,3,9.8375,0,0
28.0,0,1,52.0,0,0
34.0,0,2,21.0,1,0
29.0,0,3,7.0458,1,0
22.0,0,3,7.5208,0,0
2.0,1,3,12.2875,1,1
9.0,0,3,46.9,7,0
28.0,0,2,0.0,0,0
50.0,0,3,8.05,0,0
63.0,1,3,9.5875,0,1
25.0,0,1,91.0792,1,1
28.0,1,3,25.4667,4,0
35.0,1,1,90.0,1,1
58.0,0,1,29.7,0,0
30.0,0,3,8.05,0,0
9.0,0,3,15.9,2,1
28.0,0,3,19.9667,1,0
21.0,0,3,7.25,0,0
55.0,0,1,30.5,0,0
71.0,0,1,49.5042,0,0
21.0,0,3,8.05,0,0
28.0,0,3,14.4583,0,0
54.0,1,1,78.2667,1,1
28.0,0,3,15.1,0,0
25.0,1,1,151.55,3,0
24.0,0,3,7.7958,0,0
17.0,0,3,8.6625,0,0
21.0,1,3,7.75,0,0
28.0,1,3,7.6292,0,0
37.0,1,3,9.5875,0,0
16.0,1,1,86.5,0,1
18.0,0,1,108.9,1,0
33.0,1,2,26.0,2,1
28.0,0,1,26.55,0,1
28.0,0,3,22.525,0,0
26.0,0,3,56.4958,0,1
29.0,0,3,7.75,0,1
28.0,0,3,8.05,0,0
36.0,0,1,26.2875,0,1
54.0,1,1,59.4,1,1
24.0,0,3,7.4958,0,0
47.0,0,1,34.0208,0,0
34.0,1,2,10.5,0,1
28.0,0,3,24.15,0,0
36.0,1,2,26.0,1,1
32.0,0,3,7.8958,0,0
30.0,1,1,93.5,0,1
22.0,0,3,7.8958,0,0
28.0,0,3,7.225,0,0
44.0,1,1,57.9792,1,1
28.0,0,3,7.2292,0,0
40.5,0,3,7.75,0,0
50.0,1,2,10.5,0,1
28.0,0,1,221.7792,0,0
39.0,0,3,7.925,0,0
23.0,0,2,11.5,3,0
2.0,1,2,26.0,2,1
28.0,0,3,7.2292,0,0
17.0,0,3,7.2292,2,0
28.0,1,3,22.3583,2,1
30.0,1,3,8.6625,0,0
7.0,1,2,26.25,2,1
45.0,0,1,26.55,0,0
30.0,1,1,106.425,0,1
28.0,0,3,14.5,0,0
22.0,1,1,49.5,2,1
36.0,1,1,71.0,2,1
9.0,1,3,31.275,6,0
11.0,1,3,31.275,6,0
32.0,0,2,26.0,1,1
50.0,0,1,106.425,1,0
64.0,0,1,26.0,0,0
19.0,1,2,26.0,1,1
28.0,0,2,13.8625,0,1
33.0,0,3,20.525,2,0
8.0,0,2,36.75,2,1
17.0,0,1,110.8833,2,1
27.0,0,2,26.0,0,0
28.0,0,3,7.8292,0,0
22.0,0,3,7.225,0,1
22.0,1,3,7.775,0,1
62.0,0,1,26.55,0,0
48.0,1,1,39.6,1,1
28.0,0,1,227.525,0,0
39.0,1,1,79.65,2,1
36.0,1,3,17.4,1,1
28.0,0,3,7.75,0,0
40.0,0,3,7.8958,0,0
28.0,0,2,13.5,0,0
28.0,0,3,8.05,0,0
28.0,1,3,8.05,0,0
24.0,0,3,24.15,2,0
19.0,0,3,7.8958,0,0
29.0,1,3,21.075,4,0
28.0,0,3,7.2292,0,0
32.0,0,3,7.8542,0,1
62.0,0,2,10.5,0,1
53.0,1,1,51.4792,2,1
36.0,0,1,26.3875,0,1
28.0,1,3,7.75,0,1
16.0,0,3,8.05,0,0
19.0,0,3,14.5,0,0
34.0,1,2,13.0,0,1
39.0,1,1,55.9,1,1
28.0,1,3,14.4583,1,0
32.0,0,3,7.925,0,1
25.0,1,2,30.0,2,1
39.0,1,1,110.8833,2,1
54.0,0,2,26.0,0,0
36.0,0,1,40.125,0,0
28.0,0,3,8.7125,0,0
18.0,1,1,79.65,2,1
47.0,0,2,15.0,0,0
60.0,0,1,79.2,2,1
22.0,0,3,8.05,0,0
28.0,0,3,8.05,0,0
35.0,0,3,7.125,0,0
52.0,1,1,78.2667,1,1
47.0,0,3,7.25,0,0
28.0,1,3,7.75,2,0
37.0,0,2,26.0,1,0
36.0,0,3,24.15,2,0
28.0,1,2,33.0,0,1
49.0,0,3,0.0,0,0
28.0,0,3,7.225,0,0
49.0,0,1,56.9292,1,1
24.0,1,2,27.0,3,1
28.0,0,3,7.8958,0,0
28.0,0,1,42.4,0,0
44.0,0,3,8.05,0,0
35.0,0,1,26.55,0,1
36.0,0,3,15.55,1,0
30.0,0,3,7.8958,0,0
27.0,0,1,30.5,0,1
22.0,1,2,41.5792,3,1
40.0,1,1,153.4625,0,1
39.0,1,3,31.275,6,0
28.0,0,3,7.05,0,0
28.0,1,3,15.5,1,1
28.0,0,3,7.75,0,0
35.0,0,3,8.05,0,0
24.0,1,2,65.0,3,1
34.0,0,3,14.4,2,0
26.0,1,3,16.1,1,0
4.0,1,2,39.0,3,1
26.0,0,2,10.5,0,0
27.0,0,3,14.4542,1,0
42.0,0,1,52.5542,1,1
20.0,0,3,15.7417,2,1
21.0,0,3,7.8542,0,0
21.0,0,3,16.1,0,0
61.0,0,1,32.3208,0,0
57.0,0,2,12.35,0,0
21.0,1,1,77.9583,0,1
26.0,0,3,7.8958,0,0
28.0,0,3,7.7333,0,0
80.0,0,1,30.0,0,1
51.0,0,3,7.0542,0,0
32.0,0,1,30.5,0,1
28.0,0,1,0.0,0,0
9.0,1,3,27.9,5,0
28.0,1,2,13.0,0,1
32.0,0,3,7.925,0,0
31.0,0,2,26.25,2,0
41.0,1,3,39.6875,5,0
28.0,0,3,16.1,1,0
20.0,0,3,7.8542,0,0
24.0,1,1,69.3,0,1
2.0,1,3,27.9,5,0
28.0,0,3,56.4958,0,1
0.75,1,3,19.2583,3,1
48.0,0,1,76.7292,1,1
19.0,0,3,7.8958,0,0
56.0,0,1,35.5,0,1
28.0,0,3,7.55,0,0
23.0,1,3,7.55,0,1
28.0,0,3,7.8958,0,0
18.0,1,2,23.0,1,1
21.0,0,3,8.4333,0,0
28.0,1,3,7.8292,0,1
18.0,1,3,6.75,0,0
24.0,0,2,73.5,2,0
28.0,0,3,7.8958,0,0
32.0,1,3,15.5,2,0
23.0,0,2,13.0,0,0
58.0,0,1,113.275,2,0
50.0,0,1,133.65,2,1
40.0,0,3,7.225,0,0
47.0,0,1,25.5875,0,0
36.0,0,3,7.4958,0,0
20.0,0,3,7.925,1,1
32.0,0,2,73.5,2,0
25.0,0,2,13.0,0,0
28.0,0,3,7.775,0,0
43.0,0,3,8.05,0,0
28.0,1,1,52.0,1,1
40.0,1,2,39.0,2,1
31.0,0,1,52.0,1,0
70.0,0,2,10.5,0,0
31.0,0,2,13.0,0,1
28.0,0,2,0.0,0,0
18.0,0,3,7.775,0,0
24.5,0,3,8.05,0,0
18.0,1,3,9.8417,0,1
43.0,1,3,46.9,7,0
36.0,0,1,512.3292,1,1
28.0,1,3,8.1375,0,0
27.0,0,1,76.7292,0,1
20.0,0,3,9.225,0,0
14.0,0,3,46.9,7,0
60.0,0,2,39.0,2,0
25.0,0,2,41.5792,3,0
14.0,0,3,39.6875,5,0
19.0,0,3,10.1708,0,0
18.0,0,3,7.7958,0,0
15.0,1,1,211.3375,1,1
31.0,0,1,57.0,1,1
4.0,1,3,13.4167,1,1
28.0,0,3,56.4958,0,1
25.0,0,3,7.225,0,0
60.0,0,1,26.55,0,0
52.0,0,2,13.5,0,0
44.0,0,3,8.05,0,0
28.0,1,3,7.7333,0,1
49.0,0,1,110.8833,2,0
42.0,0,3,7.65,0,0
18.0,1,1,227.525,1,1
35.0,0,1,26.2875,0,1
18.0,1,3,14.4542,1,0
25.0,0,3,7.7417,0,0
26.0,0,3,7.8542,1,0
39.0,0,2,26.0,0,0
45.0,1,2,13.5,0,1
42.0,0,1,26.2875,0,1
22.0,1,1,151.55,0,1
28.0,0,3,15.2458,2,1
24.0,1,1,49.5042,0,1
28.0,0,1,26.55,0,0
48.0,0,1,52.0,1,1
29.0,0,3,9.4833,0,0
52.0,0,2,13.0,0,0
19.0,0,3,7.65,0,0
38.0,1,1,227.525,0,1
27.0,1,2,10.5,0,1
28.0,0,3,15.5,0,0
33.0,0,3,7.775,0,0
6.0,1,2,33.0,1,1
17.0,0,3,7.0542,1,0
34.0,0,2,13.0,0,0
50.0,0,2,13.0,0,0
27.0,0,1,53.1,1,1
20.0,0,3,8.6625,0,0
30.0,1,2,21.0,3,1
28.0,1,3,7.7375,0,1
25.0,0,2,26.0,1,0
25.0,1,3,7.925,1,0
29.0,1,1,211.3375,0,1
11.0,0,3,18.7875,0,0
28.0,0,2,0.0,0,0
23.0,0,2,13.0,0,0
23.0,0,2,13.0,0,0
28.5,0,3,16.1,0,0
48.0,1,3,34.375,4,0
35.0,0,1,512.3292,0,1
28.0,0,3,7.8958,0,0
28.0,0,3,7.8958,0,0
28.0,0,1,30.0,0,1
36.0,0,1,78.85,1,0
21.0,1,1,262.375,4,1
24.0,0,3,16.1,1,0
31.0,0,3,7.925,0,1
70.0,0,1,71.0,2,0
16.0,0,3,20.25,2,0
30.0,1,2,13.0,0,1
19.0,0,1,53.1,1,0
31.0,0,3,7.75,0,0
4.0,1,2,23.0,2,1
6.0,0,3,12.475,1,1
33.0,0,3,9.5,0,0
23.0,0,3,7.8958,0,0
48.0,1,2,65.0,3,1
0.67,0,2,14.5,2,1
28.0,0,3,7.7958,0,0
18.0,0,2,11.5,0,0
34.0,0,3,8.05,0,0
33.0,1,1,86.5,0,1
28.0,0,3,14.5,0,0
41.0,0,3,7.125,0,0
20.0,0,3,7.2292,0,1
36.0,1,1,120.0,3,1
16.0,0,3,7.775,0,0
51.0,1,1,77.9583,1,1
28.0,0,1,39.6,0,0
30.5,1,3,7.75,0,0
28.0,0,3,24.15,1,0
32.0,0,3,8.3625,0,0
24.0,0,3,9.5,0,0
48.0,0,3,7.8542,0,0
57.0,1,2,10.5,0,0
28.0,0,3,7.225,0,0
54.0,1,2,23.0,4,1
18.0,0,3,7.75,0,0
28.0,0,3,7.75,0,0
5.0,1,3,12.475,0,1
28.0,0,3,7.7375,0,0
43.0,1,1,211.3375,1,1
13.0,1,3,7.2292,0,1
17.0,1,1,57.0,1,1
29.0,0,1,30.0,0,0
28.0,0,3,23.45,3,0
25.0,0,3,7.05,0,0
25.0,0,3,7.25,0,0
18.0,1,3,7.4958,0,1
8.0,0,3,29.125,5,0
1.0,0,3,20.575,3,1
46.0,0,1,79.2,0,0
28.0,0,3,7.75,0,0
16.0,0,2,26.0,0,0
28.0,1,3,69.55,10,0
28.0,0,1,30.6958,0,0
25.0,0,3,7.8958,0,0
39.0,0,2,13.0,0,0
49.0,1,1,25.9292,0,1
31.0,1,3,8.6833,0,1
30.0,0,3,7.2292,0,0
30.0,1,3,24.15,2,0
34.0,0,2,13.0,0,0
31.0,1,2,26.25,2,1
11.0,0,1,120.0,3,1
0.42,0,3,8.5167,1,1
27.0,0,3,6.975,0,1
31.0,0,3,7.775,0,0
39.0,0,1,0.0,0,0
18.0,1,3,7.775,0,0
39.0,0,2,13.0,0,0
33.0,1,1,53.1,1,1
26.0,0,3,7.8875,0,0
39.0,0,3,24.15,0,0
35.0,0,2,10.5,0,0
6.0,1,3,31.275,6,0
30.5,0,3,8.05,0,0
28.0,0,1,0.0,0,0
23.0,1,3,7.925,0,0
31.0,0,2,37.0042,2,0
43.0,0,3,6.45,0,0
10.0,0,3,27.9,5,0
52.0,1,1,93.5,2,1
27.0,0,3,8.6625,0,1
38.0,0,1,0.0,0,0
27.0,1,3,12.475,1,1
2.0,0,3,39.6875,5,0
28.0,0,3,6.95,0,0
28.0,0,3,56.4958,0,0
1.0,0,2,37.0042,2,1
28.0,0,3,7.75,0,1
62.0,1,1,80.0,0,1
15.0,1,3,14.4542,1,1
0.83,0,2,18.75,2,1
28.0,0,3,7.2292,0,0
23.0,0,3,7.8542,0,0
18.0,0,3,8.3,0,0
39.0,1,1,83.1583,2,1
21.0,0,3,8.6625,0,0
28.0,0,3,8.05,0,0
32.0,0,3,56.4958,0,1
28.0,0,1,29.7,0,1
20.0,0,3,7.925,0,0
16.0,0,2,10.5,0,0
30.0,1,1,31.0,0,1
34.5,0,3,6.4375,0,0
17.0,0,3,8.6625,0,0
42.0,0,3,7.55,0,0
28.0,0,3,69.55,10,0
35.0,0,3,7.8958,0,0
28.0,0,2,33.0,1,0
28.0,1,1,89.1042,1,1
4.0,0,3,31.275,6,0
74.0,0,3,7.775,0,0
9.0,1,3,15.2458,2,0
16.0,1,1,39.4,1,1
44.0,1,2,26.0,1,0
18.0,1,3,9.35,1,1
45.0,1,1,164.8667,2,1
51.0,0,1,26.55,0,1
24.0,1,3,19.2583,3,1
28.0,0,3,7.2292,0,0
41.0,0,3,14.1083,2,0
21.0,0,2,11.5,1,0
48.0,1,1,25.9292,0,1
28.0,1,3,69.55,10,0
24.0,0,2,13.0,0,0
42.0,1,2,13.0,0,1
27.0,1,2,13.8583,1,1
31.0,0,1,50.4958,0,0
28.0,0,3,9.5,0,0
4.0,0,3,11.1333,2,1
26.0,0,3,7.8958,0,0
47.0,1,1,52.5542,2,1
33.0,0,1,5.0,0,0
47.0,0,3,9.0,0,0
28.0,1,2,24.0,1,1
15.0,1,3,7.225,0,1
20.0,0,3,9.8458,0,0
19.0,0,3,7.8958,0,0
28.0,0,3,7.8958,0,0
56.0,1,1,83.1583,1,1
25.0,1,2,26.0,1,1
33.0,0,3,7.8958,0,0
22.0,1,3,10.5167,0,0
28.0,0,2,10.5,0,0
25.0,0,3,7.05,0,0
39.0,1,3,29.125,5,0
27.0,0,2,13.0,0,0
19.0,1,1,30.0,0,1
28.0,1,3,23.45,3,0
26.0,0,1,30.0,0,1
32.0,0,3,7.75,0,0
